沖縄県の神社,識名宮,//www.navitime.co.jp/poi?spot=00011-080655090,沖縄県那覇市繁多川4丁目1-43,0988537225
沖縄県の神社,沖宮,//www.navitime.co.jp/poi?spot=00011-080655088,沖縄県那覇市奥武山町44,0988573293
沖縄県の神社,護佐喜御宮,//www.navitime.co.jp/poi?spot=00011-080677748,沖縄県名護市大中2-1-17,0980523848
沖縄県の神社,天久宮,//www.navitime.co.jp/poi?spot=00011-080655084,沖縄県那覇市泊3丁目19-3,0988633405
沖縄県の神社,宮古神社,//www.navitime.co.jp/poi?spot=00011-080693412,沖縄県宮古島市平良字西里5-1,0980726137
沖縄県の神社,砂川神社,//www.navitime.co.jp/poi?spot=00004-47164800001,沖縄県宮古島市城辺砂川,
沖縄県の神社,かぶにわんお嶽カンドウラ石,//www.navitime.co.jp/poi?spot=02037-0000061,沖縄県八重山郡竹富町,
沖縄県の神社,出雲大社沖縄分社,//www.navitime.co.jp/poi?spot=00011-080655085,沖縄県那覇市古島1丁目16-13,0988850346
沖縄県の神社,波上宮,//www.navitime.co.jp/poi?spot=02301-1803095,沖縄県那覇市若狭1-25-11,0988683697
沖縄県の神社,沖縄県護国神社,//www.navitime.co.jp/poi?spot=02301-1803088,沖縄県那覇市奥武山町44,0988572798
沖縄県の神社,普天満宮,//www.navitime.co.jp/poi?spot=02037-0000348,沖縄県宜野湾市普天間1丁目,
沖縄県の神社,漲水御嶽,//www.navitime.co.jp/poi?spot=02301-pn0002197,沖縄県宮古島市平良字西里8,
沖縄県の神社,白銀堂神社,//www.navitime.co.jp/poi?spot=02022-1255350,沖縄県糸満市糸満23,0988408137
沖縄県の神社,大東神社,//www.navitime.co.jp/poi?spot=00004-47164800002,沖縄県島尻郡南大東村池之沢,0980222037
沖縄県の神社,尖閣神社社務所,//www.navitime.co.jp/poi?spot=00011-100538485,沖縄県石垣市字桴海273-88,0980892515
沖縄県の神社,後の御獄,//www.navitime.co.jp/poi?spot=02037-0000430,沖縄県名護市,
沖縄県の神社,天御人之御神,//www.navitime.co.jp/poi?spot=02037-0000268,沖縄県豊見城市瀬長,赤嶺駅から徒歩26分(2035m)
沖縄県の神社,赤犬子宮,//www.navitime.co.jp/poi?spot=02037-0000386,沖縄県中頭郡読谷村,
沖縄県の神社,瀬嵩御宮,//www.navitime.co.jp/poi?spot=02037-0000461,沖縄県名護市,
沖縄県の神社,アッママ御嶽,//www.navitime.co.jp/poi?spot=02037-0000143,沖縄県宮古島市平良西里,
